,Unnamed: 0,h_vehicle_hash,production_date,country,sales_code_array
0,0,924d229bede272c5a3b440c464cd1dfb74cae74d,2013-02-05 00:00:00,Namibia,"Z5E, M3E, A4S, Y1R, F5E, J3Y, X4M, J1Z, M5X, V8O, M6O, M8Q, C0E, D2C, B1A, M5N, P1C, C9Q, U2T, P6H, Z2K, P5X, R8N, E9C, A2M, V1D, Y3E, Q5L, F6O, W7Z, Z2R, Z2B, F7S, V9Q, B9Y, Q5B, N0D, W0U, P4A, N4Y, N5U, V0X, U7G, D4W, W6O, K1O, E4L, C9W, D6R, Q1G, A5W, G0U, A4H, Q4X, E1T, U2K, O5Y, L2L, V7Z, T3P, C5S, Z6A, Z7N, K1C, A6J, X1F, Z2L, D7F, W7J, R1A, M0I, Q7I, F9L, Z6N, P2C, K6Q, O2M, E2F, X1Q, R2T, W3W, Q8V, R4L, E5W, Z2A, K5L, Z2I, G5Z, K3W, K1D, C2R, E2T, V4D, W7L, I7X, D7L, P0V, F8D, W3T, W2F, Z9J, A1J, Z0T, B2D, J1O, V2J, V1I, Q8X, F0X, D4S, W9I, Z4J, F6N, Z0I, C8C, K1P, N8I, D6Z, G2B, F8F, E1M, S1M, T2D, N7M, A5B, S1S, W0F, P1L, J3N, V9H, S1R, F3Y, H8W, N3J, E2A, Z4T, F1U, S1Y, D6J, A5Y, U3S, Z3Z, L9V, R1V, Z3L"
1,0,3787a8db036dabd7433a32eaeeca8e5758bc3df8,2012-08-27 00:00:00,Germany,"Z5D, M2N, K1X, Q2Z, G0W, F0S, F0K, E4M, V2H, A6A, Z1X, Q1D, A5F, E9C, Q5G, O1E, F5C, X4K, F1Z, F6O, E3I, R5E, O7Y, C9V, P9G, B2G, N3B, C7F, Z0Z, A4B, D9Z, C5S, A2Z, U3D, K2M, T1E, F7I, K3B, B2Z, M0D, W0T, A4K, V1X, V6U, D1J, Z5P, N7P, I1C, S8J, F0F, B4Z, A1Y, Q1U, Z4B, F6V, E0F, K5E, F2Y, H8U, D3H, F5I, P2Z, K1R, F7R, C2T, Y4V, P8F, U1P, N5F, Z8F, F5B, D2F, A6F, Q7E, Y3I, K7S, W0I, I6F, I6X, E1Q, R1B, P0S, Z8P, J3E, P9B, Q5S, Z9E, O4P, E1K, V6C, N8P, O1V, M5N, D7Z, I6C, Z3O, L3Z, Y9Y, C0T, B1C, R5A, G0C, I5G, W3R, J8Z, A5W, Q5Y, U1U, C6A, F9A, C6X, K6D, S1F, J3F, O2N, O2I, C0S, Q0F, N9X, J3C, V7U, N4W, W2V, C8I, E4S, T1O, P2V, D5P, V7S, D6X, C6Y, F6K, D1D, V2U, L1T, N2D, D2U, P7M, Z8S, C7T, O1H, R2M, R7F, E3R, O2L, Z9H, D4Q, Y1Z, I2N, U2Y, D6Z, A1D, E5Z, U2G, D3N, D7D, A1Z, M0U, X3A, Z5H, T5V, W2I, V8A, P0Z, A5E, F9R, P8T, M9O, X3U, E5D, K5A, H1L, P2J, Z0Y, P9E, D3O, R1Z, D6P, Y4F, J9D, H1V, G0G, L9A, Q2Y, C1L, E4Y, R6V, I1I, Z2X, F2P, F2E, Z3X, T2S, E3Z, X1Z, G5Z, W7J, V6H, L1B, V6Z, W6F, Y4I, Z7R, Q2E, F0M, A4G, F2M, Z5A, C1G, Z2P, Z9Y, K2C, Z3H, C3A, N8Q, Z1H, M7K, R6C, A1F, K6E, W0G, U3S, Z0F, V7Z, S5R, K3T, I4U, E3K, G2D, P9A, D1L, F5A, J1X, P5Z, Z1C, O2F, F8M, A1W, O1B, J6Z, O5U, D6C, B5D, V2L, U2U, R1G, F9L, I2B, L1L, F4I, N7K, W7Y, L9I"
2,0,aea31cdf4f575acf190626a50e927547e683d2ac,2015-08-11 00:00:00,Germany,"Z5C, M2A, A5H, P7S, P2B, N8D, D4S, A3A, D4Q, I5A, Z7B, Q1X, I4X, N3C, P2L, I9Y, R8O, Q8E, Z6E, C8T, Z7Q, C2U, G0K, B9Z, Q4X, E3A, N7Q, J2I, S5R, Z1B, V9A, D4A, O6Y, F0W, F7D, C2G, I6W, T2I, V6H, M1C, O4I, Y9A, F7I, C9Q, N7K, G5Y, I9L, F7Y, I0U, U3P, X2F, I6V, L4C, O2M, N8P, V5S, Q1S, F7B, P9B, F1K, C6Z, P0X, Q4H, I0F, P2P, Z2Q, B3G, J9N, W9S, C7R, L0Y, P8F, D1I, H1M, V1N, N4L, F6V, W8M, A4P, L3C, O7E, V3K, K6K, V7G, S5L, D7Y, E6Z, V7E, Y6A, W8F, I4J, N5A, Z9X, Q8C, Q3C, W8Y, E0Z, V2S, X3Y, W4Y, I2R, R2E, Z5H, J3A, Z2N, E3D, C8C, C5C, I2V, V6C, Z1F, P0Q, Q1F, P5H, W3D, E0V, X1Z, D7N, C5V, Q5H, Q1A, M8A, I6B, S5J, X1R, O8L, F0F, L1Q, Z7M, A2H, C3V, C5P, D4H, Z0G, N6I, D0D, K0G, W1O, T1V, V6X, K4V, W4L, O6N, Q9A, X2S, V7B, T0I, R2H, K4J, O4P, O7W, B1Z, R0E, R2X, H1V, Q6P, X4G, I5P, K3Z, D9A, A6R, Z8W, E9C, O7A, B1E, W5U, C7Y, E0U, G4C, B1X, J2Y, V3O, A4W, L1V, R6B, Z1S, X1L, C4V, Z1L, V2F, A3D, Q7K, K6M, O7O, Y6D, O1U, A2A, B1Y, D9Y, W0M, T0D, F6Y, U1P, R8N, K7I, D0Y, I4R, F1Y, A4Y, Z0J, C1Z, F5C, Q5S, N0A, J2O, D0U, N0X, J3F, Z0V, K7N, Z5G, N3L, N4F, S5E, V7S, T2A, X4M, V9H, R4W, K1O, N5Y, X3R, O8C, H1J, D1S, W4Q, E1F, B5C, F0O, J3S, K1W, P5Q, V2L, S1J, S1U, G5B, Q5T, I6O, R2P, R1T, R2K, Q1O, O7S, Q5G, P9G, F2E, D5F, N7G, D0K, Z3N, A9Y, W9L, W3T, Z2L, K7H, R1F, F8H, F4H, Q8W, Y4S, J9K, V6Y, B2C, F5A, W0Q, W0K, X1X, D3C, Z8R, Z5S, D7F, F2M, K3E, W4B, B1G, I9X, F2Y, R3K, J4V, M5Z, Q2F, Z2C, Z6I, Y4L, F2T, P9Y, C2E, X1U, C1U, E1N, C5Z, J2U, Z5I, O7M, E1A, X2Y, M7R, P5X, E2A"
3,0,d92ed338496281e08443c88583be06128a2d4b42,2015-02-22 00:00:00,Lithuania,"Z5F, M3P, D3H, C8C, Z9I, K6T, N2F, I1P, K3Z, Z8H, I2P, E5A, P5Z, E6K, W2A, W2D, O6T, K5N, W2H, N4Z, Q4Y, E5V, K1D, K0L, E1H, Q1L, I8X, Q6C, Z0G, Z9D, E1G, W6N, Z2S, O4M, C3K, E6B, D4Q, K0W, P4W, E3Y, E1W, J9K, M0Z, M5J, J3Y, Z4X, W1H, X1C, O2K, K6X, Z0A, W4G, I5A, K1Y, W2B, O5Y, I4H, C6N, Z7M, F8L, Q0V, F0E, W2X, L3D, Q1F, L9V, W2K, I4U, V7Q, Q1Y, Q4J, C9L, W9R, W6G, K5C, P6Y, C1X, D0D, Z2Z, Q6I, Q0C, D0E, V1W, M0T, W5D, Q2A, W4R, I5O, Q4Q, X1P, R2J, F2W, Y4B, Q6W, B2G, T1B, V1Y, Z4S, C7R, U3N, J2A, N1H, M5A, F7S, Y9Z, O7A, Z4P, Y6J, E7C, F2X, Q3U, V2E, Y1X, U3F, K6K, Y1P, D1Z, N1X, F1C, Z1I, W2I, M8C, M1E, J3K, E0D, B5Z, C7S, B5L, E3V, Y1R, Q2T, J1C, F0K, V1Q, J2B, D4A, X4L, K2K, Q6S, F1J, L3E, C5S, L0U, L1S, Q0Z, R8J, N6T, W4K, A1J, Z8V, K3W, I1G"
4,0,7934c4872515da4b1c9648d01c0813f81c496aff,2017-03-10 00:00:00,Germany,"Z5B, M1K, L1T, E6J, C6I, A2K, O0C, K1X, X1S, F0Z, L1A, F2Y, O5Y, O7G, Q8G, C3T, J9D, J8X, Y4H, Q0A, K5C, T3M, M7T, V7B, X3T, W6C, E4Z, M5F, E9J, S5M, W4M, F4X, U3S, N4Z, C7Q, E0Y, Z6K, W9P, U3B, K1K, A6L, R6M, F6K, P6F, A2C, C4I, M0U, S5S, Y1U, O4E, H2H, C6L, O8T, X1L, P1B, Z9W, I5Z, V4S, A3C, O4M, M6M, A2Z, W7J, D1Z, Q7N, Z3K, Z2D, P6M, F2A, D5C, B5L, Q4A, W7X, V7K, U5B, O0E, T2C, L2B, O8D, W2H, B1I, X1E, V1W, D3G, N1I, F9T, E3F, K8Z, P7N, O0G, A0H, P7R, Z8F, F2G, E3B, Y1E, D3Y, R5N, A4F, W4C"
5,0,14099ecd0625030ad276cf651a9ce9c34ca50088,2020-06-14 00:00:00,United Arab Emirates / Dubai,"Z5F, M3P, Z2Q, W1Z, I4E, K8X, V5W, R5N, W4C, U3A, W3Y, T2L, R9Z, E0E, B2B, P5P, O2R, O1D, D4A, R8B, C3H, J6A, D3D, C1M, Z9V, O0F, H1Y, R3G, R5S, Z7C, V2D, K5C, Z1S, Q6E, K5T, W1N, P0E, W9C, P8A, C8E, P1C, C7N, L3D, P5N, P4A, G0R, W7X, D0C, F9L, C8I, P9D, Q7E, Z3T, R8D, G1C, J9S, E9E, Q2J, V9H, D3O, C8P, K5R, C6T, U3I, J9P, F6E, Z3O, K0P, G0M, O1Y, O8C, Q4S, U3S, K5L, D2K, Q2Z, L2R, Z4L, C4E, Y9W, A5A, I5H, I0S, S8B, Q2E, M0U, W8F, U1C, L1V, K2V, L9I, N7A, S9X, Z7X, D3L, W3Z, C8V, F5E, O7S, E7B, C9Z, V2H, R8P, S5A, P2Q, C5D, D6G, Q2V, P5B, D0U, Z0K, Z7T, Z4D, O2N, P0F, K0B, Q8R, C4I, H8N, N6T, C4R, W2Y, S5K, F0T, I9Y, W5L, C2R, O4G, D3H, F5C, C3V, Z6I, F0K, D7X, K6F, J2H, F7T, A0B, D0Z, F7Z, K5M, X1R, Z7M, J2I, W7U, C1D, O8N, V1O, B5E, P1N, Z8D, Z5Q, P9O, Z3I, Q4Q, P5E, R1B, Z7U, I4I, Y4Z, O3A, V5A, T3K, L9F, K7W, K2Z, B1Z, Z7G, U0C, Q7Z, X2J"
6,0,31af1c9e3162b07c36234b181aa44ca2a045b629,2016-11-24 00:00:00,French Guiana,"Z5B, M1H, W5U, C0U, M8C, C1M, W9I, P6Z, R6U, P9Y, C8V, D6N, Q0A, C1K, Z8R, M7H, W7A, V7G, K1C, C4K, M0W, C1Y, F1K, D7F, C0M, F5A, C6A, D7Y, F1Z, L2R, K7Q, E9K, O7B, N4Y, E5A, Y4P, V0U, W3P, R5W, R1D, W1A, C0J, F5G, L2L, C0F, Q1Z, Z4U, N8I, D1C, F3C, Y3F, F5C, M7J, U3S, Z1Z, E4O, E9L, Z1Y, R2Z, A6N, X4L, M5U, F5T, D1A, K6V, F8F, E3A, Z5O, Q3Z, M8B, E5X, P6H, B5M, Q3F, A6J, N6R, R9A, E0D, I7G, V0Y, O1N, O4M, D0Z, L0Y, N4D, P5Q, I7Y, Z5M, M6D, D5N, N1A, Q0Y, Q5K, G0Y, I4N, Z0D, V0S, Q3R, V6D, X6F, Z6K, F4J, W4M, Y1D"
7,0,79313aefe4936c52ffba6a0dabdef2bcd0a69c21,2016-09-26 00:00:00,Malediven,"Z5D, M2Q, K6Q, J1Y, U2G, N1Q, Q0H, J3Q, O4G, M0X, A1A, J0Z, T1J, N7E, N3E, N2S, M8U, E0E, S1G, Z6E, C7T, F3W, K7L, C0D, X4N, D3T, C0A, Q3X, W5B, N1T, J3M, F7I, F8G, N5H, A5D, I4D, V6V, Z2A, Z7A, V0Z, G0K, O7O, Z5N, N2F, W5J, J9D, W6X, N7G, I0E, Q7C, F4I, V4T, E6K, R2S, A1L, W0S, W0H, I3D, E1D, C6A, I1H, I9X, F9Q, C5M, C6P, T0J, L9E, X4F, D0S, Z4A, M0C, W3Z, Z3P, O2I, K5P, Z6S, C6H, K4L, C6M, C9F, X2H, X1S, K5B, D7Y, K2E, N0Y, A0B, I9L, Z2D, R5R, Q8M, D2W, C5E, D5U, A4W, A1O, J1W, C7E, P9A, P0U, C2O, O6N, K4K, C0B, C3E, N3S, S8C, Z4X, C1K, E3Q, P5N, W4V, E6C, P8Y, O3D, F3Q, U2Y, Q7R, P4A, K6W, E1J, E2B, C4V, E5K, K3R, D4Z, P5E, F8D, X1F, D3O, I1I, E5B, V7B, Q8Q, W2P, D4X, D6C, Y3Z, W1A, N5E, O8O, W7L, Y3M, K1K, F1K, O2M, A5E, Q7O, Y1F, O7U, V3F, P9P, A1H, U2P, K6I, A2N, P1A, W1E, Z1Q, P1D, F1P, Z4Q, R1R, S1E, E1O, A4Z, C4M, C0O, U3E, I7N, J8W, I4M, F6V, Z5I, F7D, Z1B, F1N, J3I, W8P, K4U, T1R, Q4X, Q1P, I4X, P2L, C2K, A4M, K0Z, Q4T, T2Z, I2U, O7Y, X2B, P2A, S8D, U3K, G3B, W2F, E7L, N5B, I2C, O2B, I4I, Y1P, N3U, Q3W, E1K, A5P, T1G, Y4W, L4A, V2H, Q4W, O7R, Z3Y, S1F, E6M, I2R, J3U, N6T, F6N, X2D, X4G, I6B, N3L, A0D, C2F, I6N, Z7N, K6P, Q1I, Z2L, R7D, Y4U, H2A, W2Q, C1Y, Q6M, D4Y, G1D, M0H, F7T, D7L, W0R, Q2O, D4T, E5H, W0F, C4F, G4Z, E9H, Z1E, A1X, Z5M, F0C, Q5T, C9V, W4B, E1N, F7G, R8K, O3C, F6Y, T4U, W6M, F6R, S5F, Q5P, Y4P, E4B, F9T, Q7H, Q4J, E9Z, C7R, F7V, P2J, K5M, A2B, U3B, T0R, C5J, W7A, F1T, U0Q, R3P, X1K, U2T, Z8U, O9I, N7W, K7W, X2Z, P2D, I5A, A0H"
8,0,5b15f251639c1ff25ca15e9c2ec570bef949000f,2018-09-06 00:00:00,Oman,"Z5E, M3B, J3Q, E2M, P2Q, F1R, K1T, C4V, W8B, Z9H, K0H, F6O, Z4F, O1N, Q3Z, Z1S, I1Y, C2L, T4U, M8P, S1P, F8I, A5F, E5F, C0Y, P6H, I5F, C5O, V9B, F2X, E0V, Y3I, R1R, C6H, K0A, Q0Y, Z5K, M5P, C8X, V2F, W3A, K8Y, V6T, I0M, C1H, I2F, P5G, Q4Y, E4C, X1D, A4P, O7I, J2H, N1Q, N1X, K7T, V7B, W5E, I5B, W6U, O1T, E0C, M0H, I9Z, C6K, N2D, Q2J, O8M, D3R, H1Z, W0L, O7D, W1R, L3A, F9B, Z6B, E3X, D2F, F1J, K7C, N3C, E4D, D9G, Q2T, I2U, A1H, W2K, K8X, V6U, Q3X, Q5Q, Z0U, R2K, E5W, D3W, K0G, O3D, V4Y, Q2X, E6A, J3A, X1W, R5Y, X3Y, D4A, J6A, K3Q, C1B, J2K, G1C, W2V, V2C, D3H, O4A, G0S, R8C, V7Q, Z8U, Z7W, Y1E, C8B, B5A, V2D, V7A, W1G, T3K, N4X, O8O, D1J, Y1C, D0I, W6O, Z8C, W8P, O2H, B9X, Z9C, R1C, F8F, T0U, J3P, E5G, N4Y, F1B, B5M, F7T, J3U, W6N, D4S, F0K, Q3D, N1M, W4H, R1J"
9,0,70d85da3bc330c69b31efcb70e486cdb8e6ac547,2018-04-01 00:00:00,Dominica,"Z5B, M1H, J2E, G0N, N2R, C9H, K3V, U3M, W0M, S5R, I5J, F0X, R3K, V1E, V7R, Z7B, S1Y, D2A, I7H, D3B, Z9K, E4Z, E6C, A1H, Y9A, U8D, C8D, I4G, N7C, S8C, K2K, Q5T, J3T, P9D, Q4B, L2T, T1Q, V2K, J1O, A3B, K6Y, I5P, F2V, Y1P, R8P, G3H, F0B, R6V, X2R, R2J, C3G, Z7V, O4E, Y4G, C9J, A2J, P7M, Z4I, D4X, K3E, R5Q, A4B, A4M, P5B, F1J, Z2A, Z2H, C6O, Z8V, Q1O, O8O, Q6N, K3R, J2A, R3G, W0T, T2K, Q1A, J3I, D3H, R1M, P1D, K3K, C9M, Q3Y, U2V, P9C, T2B, H1L, W4N, W5T, E1O, C0T, C5A, N7A, T1M, R9X, N4Y, D1B, I1T, N1Z, I5O, P0X, W6H, R1H, N0S, H6A, G3X, E1C, R1Q, K6L, A2C, D1Z, P0F, A0A, E9C, A3A, M5G, Z0W, R1P, Z7U"
